date,costs,cumulative_costs,trigger,num_trades,portfolio_value,costs_bps
2007-03-01,356.59,11018.89,scheduled,353,128658.95528,27.71590980386515
2007-04-02,395.5,11414.39,scheduled,392,130251.672586,30.364293382786858
2007-05-01,376.44,11790.83,scheduled,373,133122.906484,28.277627790919976
2007-06-01,429.09,12219.92,scheduled,425,138344.826462,31.015977320833223
2007-07-02,378.53,12598.45,scheduled,375,137378.594392,27.5537831548845
2007-08-01,445.76,13044.210000000001,scheduled,441,130488.295098,34.160918392352585
2007-09-03,443.54,13487.750000000002,scheduled,439,132034.901088,33.59263318600775
2007-10-01,407.13,13894.880000000001,scheduled,403,137307.524704,29.65096056298942
2007-11-01,471.38,14366.26,scheduled,466,134646.906442,35.0086023107445
2007-12-03,450.61,14816.87,scheduled,446,129242.867068,34.865367058354984
2008-01-02,443.55,15260.42,scheduled,439,128046.449426,34.63977345629832
2008-02-01,501.75,15762.17,scheduled,496,125405.815416,40.01010625668193
2008-03-03,504.4,16266.57,scheduled,499,120236.57559,41.950629209532366
2008-04-01,427.03,16693.6,scheduled,423,123533.71098,34.567892165818265
2008-05-01,461.77,17155.37,scheduled,457,126942.826378,36.37621858402451
2008-06-02,485.12,17640.489999999998,scheduled,480,127246.278074,38.124494275414385
2008-07-01,526.51,18166.999999999996,scheduled,521,116893.48139,45.041861508373366
2008-08-01,565.46,18732.459999999995,scheduled,559,119054.675608,47.49582467990055
2008-09-01,445.13,19177.589999999997,scheduled,441,122049.060646,36.47139909508091
2008-10-01,634.75,19812.339999999997,scheduled,628,110381.794968,57.504953618847736
2008-11-03,683.99,20496.329999999998,scheduled,677,89906.840461,76.07763730688576
2008-12-01,674.73,21171.059999999998,scheduled,669,71512.105382,94.35185782823189
2009-01-02,630.78,21801.839999999997,scheduled,625,87463.32113,72.1193743675075
2009-02-02,615.85,22417.689999999995,scheduled,611,79037.706404,77.91850599156969
2009-03-02,637.47,23055.159999999996,scheduled,633,65842.940656,96.81675721783091
2009-04-01,638.92,23694.079999999994,scheduled,634,78261.14254,81.63949301831902
2009-05-01,653.78,24347.859999999993,scheduled,647,92969.653504,70.32187120842299
2009-06-01,565.07,24912.929999999993,scheduled,560,100712.71816,56.10711440657238
2009-07-01,533.36,25446.289999999994,scheduled,529,99964.137769,53.35513434152793
2009-08-03,541.14,25987.429999999993,scheduled,536,111275.348063,48.630717352924066
2009-09-01,519.36,26506.789999999994,scheduled,515,111358.737235,46.638459890578346
2009-10-01,491.35,26998.139999999992,scheduled,487,116653.026073,42.12063900447121
2009-11-02,488.31,27486.449999999993,scheduled,484,113938.785335,42.85722360162811
2009-12-01,471.1,27957.549999999992,scheduled,467,119694.102185,39.35866441204136
2010-01-04,458.54,28416.089999999993,scheduled,455,127009.252491,36.102881562309214
2010-02-01,470.71,28886.799999999992,scheduled,467,122090.679737,38.55413050479968
2010-03-01,446.56,29333.359999999993,scheduled,443,127601.995167,34.99631799765838
2010-04-01,424.81,29758.169999999995,scheduled,421,134995.568458,31.468440397891097
2010-05-03,496.68,30254.849999999995,scheduled,491,143591.943018,34.58968446006324
2010-06-01,467.93,30722.779999999995,scheduled,464,128028.253978,36.54896364363508
2010-07-01,475.73,31198.509999999995,scheduled,472,122621.465638,38.79663299771984
2010-08-02,450.77,31649.279999999995,scheduled,447,133630.747258,33.73250612224007
2010-09-01,449.2,32098.479999999996,scheduled,445,127969.094918,35.10222529024201
2010-10-01,451.78,32550.259999999995,scheduled,448,136931.221466,32.99320601709355
2010-11-01,441.85,32992.10999999999,scheduled,438,141055.888842,31.324463205852155
2010-12-01,463.72,33455.829999999994,scheduled,459,146926.444424,31.561370849062264
2011-01-03,447.75,33903.579999999994,scheduled,443,156967.253656,28.52505790674417
2011-02-01,411.09,34314.66999999999,scheduled,407,158663.298022,25.90958369861938
2011-03-01,448.88,34763.54999999999,scheduled,444,159213.991046,28.193502157125742
2011-04-01,456.91,35220.45999999999,scheduled,452,165678.234306,27.57815484417274
2011-05-02,456.17,35676.62999999999,scheduled,451,167068.594956,27.30435364708365
2011-06-01,461.8,36138.42999999999,scheduled,457,162025.468966,28.5016919220833
2011-07-01,420.09,36558.51999999999,scheduled,416,164790.291726,25.492399800984135
2011-08-01,484.68,37043.19999999999,scheduled,479,156478.284016,30.97426604898359
2011-09-01,551.95,37595.14999999999,scheduled,546,144333.082396,38.24140597826632
2011-10-03,542.91,38138.05999999999,scheduled,538,125817.733566,43.1505150039288
2011-11-01,572.3,38710.35999999999,scheduled,566,145715.309592,39.2752142243961
2011-12-01,453.4,39163.759999999995,scheduled,449,147781.214982,30.680489401526764
2012-01-03,438.16,39601.92,scheduled,434,150616.853662,29.091033927934582
2012-02-01,503.8,40105.72,scheduled,498,162624.212978,30.979396657750755
2012-03-01,449.99,40555.71,scheduled,445,165141.186148,27.248805128280818
2012-04-02,395.99,40951.7,scheduled,392,169236.382938,23.398632913649042
2012-05-01,469.13,41420.829999999994,scheduled,464,165683.236718,28.314874171517992
2012-06-01,543.96,41964.78999999999,scheduled,538,150396.434278,36.16841068150048
2012-07-02,446.06,42410.84999999999,scheduled,441,160587.069288,27.776831719870746
2012-08-01,506.72,42917.56999999999,scheduled,501,156556.893938,32.36650825486308
2012-09-03,452.17,43369.73999999999,scheduled,447,163129.521598,27.718465399186442
2012-10-01,440.93,43810.66999999999,scheduled,436,167455.739438,26.331136900999027
2012-11-01,448.16,44258.829999999994,scheduled,443,167617.631578,26.737044055621983
2012-12-03,415.47,44674.299999999996,scheduled,411,166992.159328,24.879611214796544
2013-01-02,414.42,45088.719999999994,scheduled,410,176513.869998,23.47804169749922
2013-02-01,389.51,45478.229999999996,scheduled,385,184162.647888,21.150325783591235
2013-03-01,404.37,45882.6,scheduled,400,183966.386568,21.980645896446504
2013-04-01,421.81,46304.409999999996,scheduled,417,188111.562078,22.42339574135786
2013-05-01,474.24,46778.649999999994,scheduled,468,187740.554328,25.260392017989844
2013-06-03,490.42,47269.06999999999,scheduled,484,197268.024048,24.860592707141894
2013-07-01,411.79,47680.85999999999,scheduled,407,195074.459768,21.109375388748354
2013-08-01,457.33,48138.189999999995,scheduled,451,207340.758638,22.05692710898491
2013-09-02,418.33,48556.52,scheduled,413,200027.115738,20.91366455275684
2013-10-01,425.63,48982.149999999994,scheduled,420,212165.684478,20.061208345128716
2013-11-01,427.05,49409.2,scheduled,421,215742.032778,19.794473728697888
2013-12-02,450.55,49859.75,scheduled,444,220051.366938,20.474764881917025
2014-01-02,352.79,50212.54,scheduled,348,225148.739548,15.669197203068856
2014-02-03,507.53,50720.07,scheduled,500,217424.893428,23.34277331349218
2014-03-03,431.48,51151.55,scheduled,425,231334.998468,18.651738943845352
2014-04-01,418.47,51570.020000000004,scheduled,412,235813.757428,17.745783984964053
2014-05-01,496.59,52066.61,scheduled,489,230558.755948,21.538544392215595
2014-06-02,375.59,52442.2,scheduled,370,232063.451908,16.18479760220494
2014-07-01,358.33,52800.53,scheduled,353,242973.729138,14.747684915206694
2014-08-01,420.62,53221.15,scheduled,414,231585.344038,18.162634675663327
2014-09-01,342.12,53563.270000000004,scheduled,337,241410.579618,14.171706995665195
2014-10-01,390.34,53953.61,scheduled,384,227167.621428,17.182906505173623
2014-11-03,501.57,54455.18,scheduled,493,239500.522018,20.942334312002203
2014-12-01,413.12,54868.3,scheduled,407,238273.328978,17.33807143971803
2015-01-02,428.4,55296.700000000004,scheduled,422,242068.307198,17.69748402667144
2015-02-02,479.73,55776.43000000001,scheduled,472,239460.707298,20.03376693458914
2015-03-02,452.99,56229.420000000006,scheduled,445,251494.622258,18.011915957999793
2015-04-01,396.49,56625.91,scheduled,390,249802.007758,15.872170266305726
2015-05-01,455.35,57081.26,scheduled,448,250507.365018,18.177110280461463
2015-06-01,424.95,57506.21,scheduled,418,251104.338208,16.92324405992526
2015-07-01,444.75,57950.96,scheduled,438,248310.208308,17.911063867673906
2015-08-03,528.38,58479.34,scheduled,519,243255.964037,21.721152946516526
2015-09-01,457.52,58936.85999999999,scheduled,450,229006.586515,19.97846467922582
2015-10-01,494.51,59431.369999999995,scheduled,487,224800.490862,21.99772776757719
2015-11-02,475.99,59907.35999999999,scheduled,468,241541.484011,19.706345762880343
2015-12-01,464.67,60372.02999999999,scheduled,457,241546.098885,19.237321660128703
2016-01-04,425.34,60797.36999999999,scheduled,419,227492.251797,18.69690051595898
2016-02-01,523.99,61321.359999999986,scheduled,516,216823.333113,24.166679502473865
2016-03-01,495.24,61816.599999999984,scheduled,487,225451.366559,21.96660005032159
2016-04-01,447.34,62263.93999999998,scheduled,439,240213.882234,18.622570679084728
2016-05-02,461.23,62725.169999999984,scheduled,453,246057.206164,18.744827968687282
2016-06-01,431.4,63156.569999999985,scheduled,424,248665.682474,17.34859413281148
2016-07-01,482.22,63638.789999999986,scheduled,474,250589.889502,19.243394095361193
2016-08-01,431.33,64070.11999999999,scheduled,424,261486.208618,16.495325022289087
2016-09-01,452.72,64522.83999999999,scheduled,444,265252.150334,17.067533644117283
2016-10-03,382.91,64905.74999999999,scheduled,377,265573.287945,14.41824224728883
2016-11-01,452.44,65358.189999999995,scheduled,445,255993.254675,17.673903188363376
2016-12-01,592.87,65951.06,scheduled,580,276424.781819,21.44778757167311
2017-01-03,388.57,66339.63,scheduled,382,285060.960124,13.631119457079432
2017-02-01,436.32,66775.95000000001,scheduled,428,288617.400526,15.117591635321178
2017-03-01,408.24,67184.19000000002,scheduled,401,298387.062603,13.681558323564378
2017-04-03,395.27,67579.46000000002,scheduled,388,292968.121513,13.491911609996123
2017-05-01,403.0,67982.46000000002,scheduled,396,298089.419493,13.519433218577005
2017-06-01,461.42,68443.88000000002,scheduled,452,298397.790858,15.463251208169238
2017-07-03,425.66,68869.54000000002,scheduled,418,302647.624598,14.064541248767261
2017-08-01,445.66,69315.20000000003,scheduled,437,305754.516578,14.575745437477757
2017-09-01,454.24,69769.44000000003,scheduled,445,305829.088724,14.852740198625634
2017-10-02,451.1,70220.54000000004,scheduled,442,321998.21892,14.009394260409719
2017-11-01,430.72,70651.26000000004,scheduled,422,323514.42529,13.313780355046006
2017-12-01,444.12,71095.38000000003,scheduled,435,333190.283288,13.329320279610783
2018-01-02,431.44,71526.82000000004,scheduled,423,338915.956394,12.729999631484981
2018-02-01,497.53,72024.35000000003,scheduled,486,344320.719403,14.449609679680085
2018-03-01,453.22,72477.57000000004,scheduled,444,328356.021611,13.80270103701418
2018-04-02,410.53,72888.10000000003,scheduled,402,325889.732903,12.597205697247075
2018-05-01,435.87,73323.97000000003,scheduled,427,334221.270457,13.041360276202942
2018-06-01,486.92,73810.89000000003,scheduled,475,349112.629107,13.947361378633003
2018-07-02,443.6,74254.49000000003,scheduled,435,348434.672771,12.731224377648118
2018-08-01,441.58,74696.07000000004,scheduled,432,353773.803566,12.481986951801503
2018-09-03,444.67,75140.74000000003,scheduled,434,363219.736603,12.242451474657207
2018-10-01,452.57,75593.31000000004,scheduled,443,355230.551515,12.740176712556487
2018-11-01,521.6,76114.91000000005,scheduled,509,337513.076897,15.454216020174485
2018-12-03,463.53,76578.44000000005,scheduled,453,341299.866747,13.581312070760553
2019-01-02,523.77,77102.21000000005,scheduled,513,308461.082747,16.980099899007243
2019-02-01,496.93,77599.14000000004,scheduled,486,338946.628367,14.661010271562308
2019-03-01,487.85,78086.99000000005,scheduled,477,352837.349527,13.826484091153976
2019-04-01,449.29,78536.28000000004,scheduled,440,351303.395427,12.789230216630838
2019-05-01,453.64,78989.92000000004,scheduled,444,355121.509917,12.774219170954357
2019-06-03,585.51,79575.43000000004,scheduled,571,334888.446387,17.48373245828193
2019-07-01,488.1,80063.53000000004,scheduled,476,356545.111267,13.689712313415642
2019-08-01,478.93,80542.46000000004,scheduled,467,354779.048107,13.499387930472054
2019-09-02,524.3,81066.76000000004,scheduled,512,345516.663347,15.174376683345344
2019-10-01,464.87,81531.63000000003,scheduled,454,351812.823067,13.213560436694745
2019-11-01,498.2,82029.83000000003,scheduled,486,367008.240597,13.57462707620937
2019-12-02,459.11,82488.94000000003,scheduled,447,368692.643057,12.452377573723961
2020-01-02,440.11,82929.05000000003,scheduled,428,386835.881707,11.377176234477423
2020-02-03,541.1,83470.15000000004,scheduled,527,377986.412137,14.315329404060163
2020-03-02,491.27,83961.42000000004,scheduled,479,354092.112787,13.874073504018368
2020-04-01,737.26,84698.68000000004,scheduled,713,267444.850297,27.566804863928613
2020-05-01,638.18,85336.86000000003,scheduled,621,314486.076053,20.292790320308114
2020-06-01,561.3,85898.16000000003,scheduled,546,348690.831005,16.097354736349555
2020-07-01,492.44,86390.60000000003,scheduled,480,352047.577019,13.987882097351376
2020-08-03,563.56,86954.16000000003,scheduled,548,372649.855512,15.123043566612957
2020-09-01,529.0,87483.16000000003,scheduled,513,386339.133513,13.692633080935343
2020-10-01,529.08,88012.24000000003,scheduled,515,372776.807087,14.192943067848141
2020-11-02,583.37,88595.61000000003,scheduled,567,382135.950069,15.266032936567845
2020-12-01,596.73,89192.34000000003,scheduled,573,443665.614124,13.449994342658705
2021-01-04,532.22,89724.56000000003,scheduled,517,461081.559344,11.542860242713061
2021-02-01,568.28,90292.84000000003,scheduled,541,495887.558284,11.459855979579547
2021-03-01,600.85,90893.69000000003,scheduled,577,535868.915148,11.21263023502778
2021-04-01,504.94,91398.63000000003,scheduled,486,552388.065564,9.141037460402869
2021-05-03,526.11,91924.74000000003,scheduled,508,566895.409618,9.280547894267073
2021-06-01,503.68,92428.42000000003,scheduled,486,579162.537748,8.696695092857624
2021-07-01,537.97,92966.39000000003,scheduled,520,577101.320578,9.321933269208122
2021-08-02,506.86,93473.25000000003,scheduled,490,567754.449058,8.927450957732976
2021-09-01,489.79,93963.04000000002,scheduled,473,581283.185818,8.426013549845797
2021-10-01,561.82,94524.86000000003,scheduled,542,571794.508538,9.825557811607819
2021-11-01,494.94,95019.80000000003,scheduled,477,597254.615918,8.286917954401423
2021-12-01,547.87,95567.67000000003,scheduled,527,565686.848678,9.685040429707042
2022-01-03,472.77,96040.44000000003,scheduled,457,603189.455958,7.837835945741712
2022-02-01,556.02,96596.46000000004,scheduled,535,576425.172008,9.646004841583899
2022-03-01,549.56,97146.02000000003,scheduled,530,569232.423868,9.654404369056778
2022-04-01,573.75,97719.77000000003,scheduled,552,593171.642918,9.672579713648165
2022-05-02,534.21,98253.98000000004,scheduled,516,551480.493448,9.686834010392273
2022-06-01,557.91,98811.89000000004,scheduled,536,553519.790868,10.079314402202591
2022-07-01,574.39,99386.28000000004,scheduled,554,515205.454758,11.148756184458488
2022-08-01,582.91,99969.19000000005,scheduled,560,557772.443148,10.45067764033172
2022-09-01,549.98,100519.17000000004,scheduled,531,531533.898268,10.347035283960375
2022-10-03,527.1,101046.27000000005,scheduled,513,498448.241116,10.574819139091558
2022-11-01,591.05,101637.32000000005,scheduled,571,535194.882456,11.043640725555555
2022-12-01,528.2,102165.52000000005,scheduled,509,565515.008396,9.340158831472245
2023-01-03,499.9,102665.42000000004,scheduled,485,537707.405396,9.296877725383819
2023-02-01,601.44,103266.86000000004,scheduled,580,600266.918666,10.019542661731334
2023-03-01,528.47,103795.33000000005,scheduled,511,580286.990626,9.107045454007146
2023-04-03,567.91,104363.24000000005,scheduled,548,564260.273006,10.064681622446264
2023-05-01,550.53,104913.77000000005,scheduled,532,553538.618146,9.945647547481386
2023-06-01,577.54,105491.31000000004,scheduled,555,548857.998086,10.52257600352042
2023-07-03,560.73,106052.04000000004,scheduled,541,587103.619616,9.550784244300011
2023-08-01,547.3,106599.34000000004,scheduled,528,606184.599256,9.028602849226589
2023-09-01,523.41,107122.75000000004,scheduled,504,589640.125686,8.876770375677088
2023-10-02,523.74,107646.49000000005,scheduled,509,547984.244076,9.55757406644273
2023-11-01,610.22,108256.71000000005,scheduled,590,530576.341346,11.501078213400074
2023-12-01,546.7,108803.41000000005,scheduled,527,581789.136386,9.396875359275885
2024-01-02,528.13,109331.54000000005,scheduled,510,615468.095926,8.580948443889755
2024-02-01,549.17,109880.71000000005,scheduled,530,604693.616336,9.081789275824796
2024-03-01,577.8,110458.51000000005,scheduled,552,621786.031786,9.292585720208995
2024-04-01,517.42,110975.93000000005,scheduled,497,635422.060296,8.142934158738038
2024-05-01,578.09,111554.02000000005,scheduled,557,604234.086336,9.567318578557286
2024-06-03,564.49,112118.51000000005,scheduled,542,625801.218296,9.020276463140407
2024-07-01,526.88,112645.39000000006,scheduled,509,611309.925856,8.61886872296773
2024-08-01,623.4,113268.79000000005,scheduled,595,645521.970896,9.657301038641732
2024-09-02,522.1,113790.89000000006,scheduled,502,652594.065746,8.000379215878583
2024-10-01,518.17,114309.06000000006,scheduled,499,655686.138306,7.902713962181962
2024-11-01,566.72,114875.78000000006,scheduled,544,649620.792786,8.72385869253866
2024-12-02,580.36,115456.14000000006,scheduled,554,693964.428576,8.362964672279906
2025-01-02,530.62,115986.76000000005,scheduled,510,648735.569536,8.179295616232656
2025-02-03,545.64,116532.40000000005,scheduled,525,654787.864996,8.333080516135302
2025-03-03,631.13,117163.53000000006,scheduled,603,630053.043096,10.017093114870264
2025-04-01,559.95,117723.48000000005,scheduled,539,614236.501276,9.11619545300179
2025-05-01,565.29,118288.77000000005,scheduled,542,598512.619776,9.444913629583382
2025-06-02,572.96,118861.73000000005,scheduled,549,620109.486076,9.239658687139945
2025-07-01,554.3,119416.03000000006,scheduled,533,653689.763376,8.47955759835218
2025-08-01,609.47,120025.50000000006,scheduled,585,640541.150076,9.514923435093696
2025-09-01,588.77,120614.27000000006,scheduled,563,684351.579676,8.60332638201475
2025-10-01,710.01,121324.28000000006,scheduled,641,718918.978776,9.876078125087641
