date,equity,equity_normalized,equity_change_pct
2021-04-20,100000.0,100.0,0.0
2021-04-21,100000.0,100.0,0.0
2021-04-22,100000.0,100.0,0.0
2021-04-23,100000.0,100.0,0.0
2021-04-26,100000.0,100.0,0.0
2021-04-27,100000.0,100.0,0.0
2021-04-28,100000.0,100.0,0.0
2021-04-29,100000.0,100.0,0.0
2021-04-30,100000.0,100.0,0.0
2021-05-03,100000.0,100.0,0.0
2021-05-04,100000.0,100.0,0.0
2021-05-05,100000.0,100.0,0.0
2021-05-06,100000.0,100.0,0.0
2021-05-07,100000.0,100.0,0.0
2021-05-10,100000.0,100.0,0.0
2021-05-11,100000.0,100.0,0.0
2021-05-12,100000.0,100.0,0.0
2021-05-13,100000.0,100.0,0.0
2021-05-14,100000.0,100.0,0.0
2021-05-17,100000.0,100.0,0.0
2021-05-18,100000.0,100.0,0.0
2021-05-19,100000.0,100.0,0.0
2021-05-20,100000.0,100.0,0.0
2021-05-21,100000.0,100.0,0.0
2021-05-24,100000.0,100.0,0.0
2021-05-25,100000.0,100.0,0.0
2021-05-26,100000.0,100.0,0.0
2021-05-27,100000.0,100.0,0.0
2021-05-28,100000.0,100.0,0.0
2021-06-01,100000.0,100.0,0.0
2021-06-02,100000.0,100.0,0.0
2021-06-03,100000.0,100.0,0.0
2021-06-04,100000.0,100.0,0.0
2021-06-07,100000.0,100.0,0.0
2021-06-08,100000.0,100.0,0.0
2021-06-09,100000.0,100.0,0.0
2021-06-10,100000.0,100.0,0.0
2021-06-11,100000.0,100.0,0.0
2021-06-14,100000.0,100.0,0.0
2021-06-15,100000.0,100.0,0.0
2021-06-16,100000.0,100.0,0.0
2021-06-17,100000.0,100.0,0.0
2021-06-18,100000.0,100.0,0.0
2021-06-21,100000.0,100.0,0.0
2021-06-22,100000.0,100.0,0.0
2021-06-23,100000.0,100.0,0.0
2021-06-24,100000.0,100.0,0.0
2021-06-25,100000.0,100.0,0.0
2021-06-28,100000.0,100.0,0.0
2021-06-29,100000.0,100.0,0.0
2021-06-30,100000.0,100.0,0.0
2021-07-01,100000.0,100.0,0.0
2021-07-02,100000.0,100.0,0.0
2021-07-05,100000.0,100.0,0.0
2021-07-06,100000.0,100.0,0.0
2021-07-07,100000.0,100.0,0.0
2021-07-08,100000.0,100.0,0.0
2021-07-09,100000.0,100.0,0.0
2021-07-12,100000.0,100.0,0.0
2021-07-13,100000.0,100.0,0.0
2021-07-14,100000.0,100.0,0.0
2021-07-15,100000.0,100.0,0.0
2021-07-16,100000.0,100.0,0.0
2021-07-19,100000.0,100.0,0.0
2021-07-20,100000.0,100.0,0.0
2021-07-21,100000.0,100.0,0.0
2021-07-22,100000.0,100.0,0.0
2021-07-23,100000.0,100.0,0.0
2021-07-26,100000.0,100.0,0.0
2021-07-27,100000.0,100.0,0.0
2021-07-28,100000.0,100.0,0.0
2021-07-29,100000.0,100.0,0.0
2021-07-30,100000.0,100.0,0.0
2021-08-02,100000.0,100.0,0.0
2021-08-03,100000.0,100.0,0.0
2021-08-04,100000.0,100.0,0.0
2021-08-05,100000.0,100.0,0.0
2021-08-06,100000.0,100.0,0.0
2021-08-09,100000.0,100.0,0.0
2021-08-10,100000.0,100.0,0.0
2021-08-11,100000.0,100.0,0.0
2021-08-12,100000.0,100.0,0.0
2021-08-13,100000.0,100.0,0.0
2021-08-16,100000.0,100.0,0.0
2021-08-17,100000.0,100.0,0.0
2021-08-18,100000.0,100.0,0.0
2021-08-19,100000.0,100.0,0.0
2021-08-20,100000.0,100.0,0.0
2021-08-23,100000.0,100.0,0.0
2021-08-24,100000.0,100.0,0.0
2021-08-25,100000.0,100.0,0.0
2021-08-26,100000.0,100.0,0.0
2021-08-27,100000.0,100.0,0.0
2021-08-30,100000.0,100.0,0.0
2021-08-31,100000.0,100.0,0.0
2021-09-01,100000.0,100.0,0.0
2021-09-02,100000.0,100.0,0.0
2021-09-03,100000.0,100.0,0.0
2021-09-06,100000.0,100.0,0.0
2021-09-07,100000.0,100.0,0.0
2021-09-08,100000.0,100.0,0.0
2021-09-09,100000.0,100.0,0.0
2021-09-10,100000.0,100.0,0.0
2021-09-13,100000.0,100.0,0.0
2021-09-14,100000.0,100.0,0.0
2021-09-15,100000.0,100.0,0.0
2021-09-16,100000.0,100.0,0.0
2021-09-17,100000.0,100.0,0.0
2021-09-20,100000.0,100.0,0.0
2021-09-21,100000.0,100.0,0.0
2021-09-22,100000.0,100.0,0.0
2021-09-23,100000.0,100.0,0.0
2021-09-24,100000.0,100.0,0.0
2021-09-27,100000.0,100.0,0.0
2021-09-28,100000.0,100.0,0.0
2021-09-29,100000.0,100.0,0.0
2021-09-30,100000.0,100.0,0.0
2021-10-01,100000.0,100.0,0.0
2021-10-04,100000.0,100.0,0.0
2021-10-05,100000.0,100.0,0.0
2021-10-06,100000.0,100.0,0.0
2021-10-07,100000.0,100.0,0.0
2021-10-08,100000.0,100.0,0.0
2021-10-11,100000.0,100.0,0.0
2021-10-12,100000.0,100.0,0.0
2021-10-13,100000.0,100.0,0.0
2021-10-14,100000.0,100.0,0.0
2021-10-15,100000.0,100.0,0.0
