date,equity
2021-06-30,117923.598224
2021-07-01,118373.819044
2021-07-02,117781.624774
2021-07-05,117785.689174
2021-07-06,116787.645794
2021-07-07,116415.843124
2021-07-08,115556.348444
2021-07-09,117150.117884
2021-07-12,117316.467654
2021-07-13,116403.844394
2021-07-14,115889.234644
2021-07-15,115482.483714
2021-07-16,114484.901394
2021-07-19,113046.515534
2021-07-20,114793.906144
2021-07-21,115931.312784
2021-07-22,115051.208604
2021-07-23,115409.123614
2021-07-26,115928.242084
2021-07-27,115401.082274
2021-07-28,115978.284684
2021-07-29,116688.221854
2021-07-30,116375.592984
2021-08-02,116109.642034
2021-08-03,116373.148514
2021-08-04,115142.407304
2021-08-05,116199.185664
2021-08-06,116726.513214
2021-08-09,116395.277964
2021-08-10,116903.547434
2021-08-11,117521.61109399999
2021-08-12,117300.665774
2021-08-13,116936.160774
2021-08-16,116325.823764
2021-08-17,115365.127114
2021-08-18,114837.882034
2021-08-19,114026.776664
2021-08-20,114863.860144
2021-08-23,115816.029424
2021-08-24,116558.438034
2021-08-25,116913.314654
2021-08-26,116200.422964
2021-08-27,117847.551104
2021-08-30,117479.744814
2021-08-31,117592.502294
2021-09-01,117878.770614
2021-09-02,118172.683694
2021-09-03,117842.702974
2021-09-06,117843.740574
2021-09-07,117236.512404
2021-09-08,116612.216044
2021-09-09,116481.414944
2021-09-10,115858.809344
2021-09-13,116508.401114
2021-09-14,115567.230064
2021-09-15,116324.178864
2021-09-16,116034.418804
2021-09-17,115610.347464
2021-09-20,114299.899214
2021-09-21,114238.486154
2021-09-22,115264.740434
2021-09-23,116418.984994
2021-09-24,116357.783474
2021-09-27,117466.078604
2021-09-28,116495.176224
2021-09-29,116526.405404
2021-09-30,115716.155574
2021-10-01,116918.057454
2021-10-04,116473.264064
2021-10-05,116841.453124
2021-10-06,116362.433084
2021-10-07,117330.299544
2021-10-08,117211.512304
2021-10-11,116923.739744
2021-10-12,117111.312244
2021-10-13,117267.938264
2021-10-14,118131.611334
2021-10-15,118152.503824
2021-10-18,118211.520244
2021-10-19,118453.442344
2021-10-20,118998.130384
2021-10-21,118897.205714
2021-10-22,118805.190734
2021-10-25,119353.518794
2021-10-26,118940.716624
2021-10-27,117720.968484
2021-10-28,118758.899314
2021-10-29,118337.472864
2021-11-01,120073.791074
2021-11-02,119756.837084
2021-11-03,120856.257354
2021-11-04,120424.771444
2021-11-05,121592.504004
2021-11-08,121682.237754
2021-11-09,121665.973444
2021-11-10,120937.408844
2021-11-11,121604.921624
2021-11-12,121675.170504
2021-11-15,121641.209154
2021-11-16,121559.397424
2021-11-17,120893.440194
2021-11-18,120503.048184
2021-11-19,119780.658804
2021-11-22,120017.693734
2021-11-23,120238.602024
2021-11-24,120228.024164
2021-11-25,120228.348364
2021-11-26,117828.124034
2021-11-29,117753.904594
2021-11-30,116130.462564
2021-12-01,115055.005094
2021-12-02,116689.382074
2021-12-03,115810.319724
2021-12-06,117255.792664
2021-12-07,118540.588534
2021-12-08,119087.240114
2021-12-09,117950.959694
2021-12-10,117904.716434
2021-12-13,116917.215624
2021-12-14,116525.438944
2021-12-15,117337.720724
2021-12-16,116714.386404
2021-12-17,116791.837554
2021-12-20,115569.063844
2021-12-21,117575.309794
2021-12-22,118267.226634
2021-12-23,118790.782974
2021-12-24,118790.411574
2021-12-27,119672.103154
2021-12-28,119487.489144
2021-12-29,119626.984214
2021-12-30,119620.831024
2021-12-31,119586.407474
2022-01-03,120452.387084
2022-01-04,120905.888634
2022-01-05,119438.677204
2022-01-06,119773.589244
2022-01-07,119569.845794
2022-01-10,119363.098194
2022-01-11,120147.994224
2022-01-12,120055.412954
2022-01-13,119965.938114
2022-01-14,120116.234434
2022-01-17,120116.539034
2022-01-18,118599.524744
2022-01-19,117809.984174
2022-01-20,116528.973764
2022-01-21,115386.129304
2022-01-24,116262.040454
2022-01-25,115999.044894
2022-01-26,115329.755904
2022-01-27,114317.447744
2022-01-28,115265.966804
2022-01-31,116715.444864
2022-02-01,117498.101714
2022-02-02,117031.653314
2022-02-03,115931.348134
2022-02-04,115973.186254
2022-02-07,116358.768814
2022-02-08,117457.638834
2022-02-09,118537.020144
2022-02-10,117467.760074
2022-02-11,117024.997874
2022-02-14,116648.050774
2022-02-15,118346.560224
2022-02-16,118768.756234
2022-02-17,117338.195584
2022-02-18,116847.575214
2022-02-21,116847.003414
2022-02-22,115802.261604
2022-02-23,114794.710044
2022-02-24,115785.079974
2022-02-25,117595.354654
2022-02-28,117749.227784
2022-03-01,116550.034954
2022-03-02,118151.264784
2022-03-03,117752.942354
2022-03-04,116912.393344
2022-03-07,115228.502034
2022-03-08,115575.287114
2022-03-09,117211.657744
2022-03-10,117095.595624
2022-03-11,116166.035834
2022-03-14,115183.685724
2022-03-15,115887.232904
2022-03-16,117669.746854
2022-03-17,118758.890794
2022-03-18,119383.506944
2022-03-21,119130.444234
2022-03-22,119623.828574
2022-03-23,118558.924704
2022-03-24,119380.329314
2022-03-25,119869.291204
2022-03-28,119565.558124
2022-03-29,121124.673024
2022-03-30,120188.301964
2022-03-31,119389.684304
2022-04-01,120004.678294
2022-04-04,119779.315424
2022-04-05,118277.143574
2022-04-06,117481.640424
2022-04-07,117383.463064
2022-04-08,117196.021264
2022-04-11,116767.747734
2022-04-12,116923.204224
2022-04-13,118096.526194
2022-04-14,117731.908054
2022-04-18,117600.782184
2022-04-19,118750.324254
2022-04-20,119217.043974
2022-04-21,117871.200134
2022-04-22,116105.480694
2022-04-25,116112.806974
2022-04-26,114139.043704
2022-04-27,114069.989714
2022-04-28,115356.647764
2022-04-29,113670.730554
2022-05-02,114042.125274
2022-05-03,114703.927124
2022-05-04,116685.763834
2022-05-05,114125.598914
2022-05-06,113343.935244
2022-05-09,110943.203404
2022-05-10,110702.075614
2022-05-11,109523.476384
2022-05-12,110103.187174
2022-05-13,111968.872824
2022-05-16,111873.282004
2022-05-17,113915.717074
2022-05-18,111567.87635399999
2022-05-19,111547.972204
2022-05-20,111425.201554
2022-05-23,112149.036054
2022-05-24,111487.233714
2022-05-25,112683.839674
2022-05-26,114067.924644
2022-05-27,115640.783984
2022-05-30,115642.677184
2022-05-31,114915.947984
2022-06-01,114598.923014
2022-06-02,115840.10288399999
2022-06-03,115000.697794
2022-06-06,115298.066644
2022-06-07,116167.494724
2022-06-08,115059.631208
2022-06-09,113442.786454
2022-06-10,111599.850164
2022-06-13,108325.601364
2022-06-14,108040.822084
2022-06-15,108952.785084
2022-06-16,106002.753224
2022-06-17,106431.327174
2022-06-20,106438.035374
2022-06-21,107558.552464
2022-06-22,107300.597104
2022-06-23,107584.317188
2022-06-24,109721.906334
2022-06-27,110080.851824
2022-06-28,109079.052484
2022-06-29,108418.346014
2022-06-30,107945.253114
2022-07-01,108519.081464
2022-07-04,108247.842464
2022-07-05,108100.542234
2022-07-06,107486.445494
2022-07-07,109182.872454
2022-07-08,109067.665324
2022-07-11,108022.250514
2022-07-12,107978.820754
2022-07-13,108024.143044
2022-07-14,107115.934954
2022-07-15,108502.027394
2022-07-18,108558.112454
2022-07-19,111007.189204
2022-07-20,111890.175814
2022-07-21,112138.743714
2022-07-22,111386.805104
2022-07-25,111907.678484
2022-07-26,111403.117084
2022-07-27,113127.580634
2022-07-28,114122.467464
2022-07-29,114967.132534
2022-08-01,114892.320344
2022-08-02,113959.563924
2022-08-03,114610.972454
2022-08-04,114293.056314
2022-08-05,114461.324484
2022-08-08,115124.383524
2022-08-09,114153.469644
2022-08-10,116002.026254
2022-08-11,116431.906224
2022-08-12,117730.514794
2022-08-15,117677.626944
2022-08-16,117935.288324
2022-08-17,116786.459264
2022-08-18,117461.497364
2022-08-19,116054.153204
2022-08-22,114526.117844
2022-08-23,114794.517974
2022-08-24,115215.576864
2022-08-25,116425.033774
2022-08-26,114020.173834
2022-08-29,113576.288294
2022-08-30,112426.751514
2022-08-31,111822.008424
2022-09-01,110994.637594
2022-09-02,110431.001074
2022-09-05,110429.521074
2022-09-06,109709.970154
2022-09-07,110934.383564
2022-09-08,111274.774684
2022-09-09,112778.158554
2022-09-12,113593.973944
2022-09-13,110685.631164
2022-09-14,110583.038234
2022-09-15,110023.571194
