date,costs,cumulative_costs,trigger,num_trades,portfolio_value,costs_bps
2012-11-01,4042.91,256950.44999999995,scheduled,0,1384700.688816,29.196995658729136
2012-12-03,4016.41,260966.85999999996,scheduled,0,1396541.728926,28.759684847289098
2013-01-02,4353.88,265320.73999999993,scheduled,0,1476796.855216,29.48191543489704
2013-02-01,4561.27,269882.00999999995,scheduled,0,1517423.926086,30.05929932688758
2013-03-01,4477.65,274359.66,scheduled,0,1539364.900006,29.087645170956847
2013-04-01,4572.2,278931.86,scheduled,0,1566264.955906,29.191740406113013
2013-05-01,4379.56,283311.42,scheduled,0,1577733.778826,27.758548741086436
2013-06-03,4764.69,288076.11,scheduled,0,1626961.875306,29.285812238863027
2013-07-01,4779.84,292855.95,scheduled,0,1627062.8152659999,29.377107971203742
2013-08-01,4911.07,297767.02,scheduled,0,1709520.6203359999,28.727761113725247
2013-09-02,4723.85,302490.87,scheduled,0,1664911.497566,28.372979626280337
2013-10-01,5077.72,307568.58999999997,scheduled,0,1771209.705476,28.66809042600294
2013-11-01,5201.96,312770.55,scheduled,0,1818852.404956,28.600231584628446
2013-12-02,5326.51,318097.06,scheduled,0,1826557.429036,29.161470180607274
2014-01-02,5263.28,323360.34,scheduled,0,1869103.472366,28.159382708424857
2014-02-03,5191.06,328551.4,scheduled,0,1811751.015506,28.652171052048235
2014-03-03,5657.57,334208.97000000003,scheduled,0,1963517.2368659999,28.813447082492306
2014-04-01,5921.95,340130.92000000004,scheduled,0,1995538.883676,29.675943918923405
2014-05-01,5727.87,345858.79000000004,scheduled,0,1942376.377856,29.488980947773044
2014-06-02,5615.53,351474.32000000007,scheduled,0,1989624.426706,28.224070455834767
2014-07-01,5979.47,357453.79000000004,scheduled,0,2078682.933596,28.76566648698013
2014-08-01,5473.26,362927.05000000005,scheduled,0,2004461.678906,27.30538606748127
2014-09-01,5547.56,368474.61000000004,scheduled,0,2094728.636876,26.48343037059647
2014-10-01,5669.68,374144.29000000004,scheduled,0,1980797.475166,28.623219037195387
2014-11-03,5819.45,379963.74000000005,scheduled,0,2078084.574726,28.00391317455069
2014-12-01,5519.03,385482.7700000001,scheduled,0,2055801.595986,26.846121779339178
2015-01-02,5771.73,391254.50000000006,scheduled,0,2075510.661636,27.808722483027346
2015-02-02,5720.33,396974.8300000001,scheduled,0,2081258.5085459999,27.484956705336486
2015-03-02,6179.25,403154.0800000001,scheduled,0,2205333.663436,28.019569566504853
2015-04-01,6068.05,409222.13000000006,scheduled,0,2165375.077416,28.023089686804592
2015-05-01,5841.09,415063.2200000001,scheduled,0,2198582.726936,26.567524289342025
2015-06-01,6438.77,421501.9900000001,scheduled,0,2220397.055296,28.998282017364915
2015-07-01,6201.34,427703.33000000013,scheduled,0,2191980.479676,28.29103661049313
2015-08-03,6202.16,433905.4900000001,scheduled,0,2199178.937023,28.202161704930585
2015-09-01,5926.47,439831.9600000001,scheduled,0,2026360.353374,29.246871071732656
2015-10-01,5616.12,445448.0800000001,scheduled,0,2005923.915478,27.997672078513062
2015-11-02,6309.19,451757.2700000001,scheduled,0,2171010.262824,29.061078650974
2015-12-01,6390.55,458147.82000000007,scheduled,0,2198002.58958,29.074351551246913
2016-01-04,5831.26,463979.0800000001,scheduled,0,2080113.604282,28.033372735008847
2016-02-01,5736.83,469715.9100000001,scheduled,0,1956795.755654,29.31746955922151
2016-03-01,5859.1,475575.01000000007,scheduled,0,2038872.432736,28.736962185209237
2016-04-01,6290.67,481865.68000000005,scheduled,0,2158308.615506,29.146295181355228
2016-05-02,6237.1,488102.78,scheduled,0,2189219.134586,28.49006708129056
2016-06-01,6330.07,494432.85000000003,scheduled,0,2222215.421646,28.485402172716913
2016-07-01,6567.01,500999.86000000004,scheduled,0,2266775.98273,28.970705751394974
2016-08-01,6635.58,507635.44000000006,scheduled,0,2353015.712194,28.20032167916486
2016-09-01,6669.43,514304.87000000005,scheduled,0,2378291.375688,28.042947420900628
2016-10-03,6713.13,521018.00000000006,scheduled,0,2374073.566334,28.276840680915758
2016-11-01,6546.36,527564.3600000001,scheduled,0,2275843.479292,28.764544045166623
2016-12-01,6676.9,534241.2600000001,scheduled,0,2374080.37624,28.124153111339393
2017-01-03,6577.08,540818.3400000001,scheduled,0,2452758.20254,26.81503620368686
2017-02-01,6952.59,547770.93,scheduled,0,2492125.141594,27.898237869198738
2017-03-01,7495.01,555265.9400000001,scheduled,0,2600863.491736,28.817390931183787
2017-04-03,7454.37,562720.31,scheduled,0,2566915.780736,29.040181434634537
2017-05-01,7591.47,570311.78,scheduled,0,2622055.656962,28.95236025918583
2017-06-01,7726.01,578037.79,scheduled,0,2678030.77747,28.84959375746588
2017-07-03,7734.01,585771.8,scheduled,0,2673501.20061,28.9283954622327
